Dist,First,Last,Party,2023 PVI,2023 Raw PVI,Rank
FL-08@@95,Bill,Posey,R,R+11@@305,R+11.37,305
FL-09@@96,Darren,Soto,D,D+8@@140,D+8.05,140
FL-10@@97,Maxwell,Frost,D,D+14@@99,D+14.3,99
FL-11@@98,Daniel,Webster,R,R+8@@272,R+8.04,272
FL-12@@99,Gus,Bilirakis,R,R+17@@369,R+16.58,369
FL-13@@100,Anna,Paulina Luna,R,R+6@@250,R+5.58,250
FL-14@@101,Kathy,Castor,D,D+8@@139,D+8.13,139
FL-15@@102,Laurel,Lee,R,R+4@@237,R+3.67,237
FL-16@@103,Vern,Buchanan,R,R+7@@261,R+6.99,261
FL-17@@104,Greg,Steube,R,R+10@@292,R+10.15,292
FL-18@@105,Scott,Franklin,R,R+13@@329,R+13.39,329
FL-19@@106,Byron,Donalds,R,R+13@@323,R+12.91,323
FL-20@@107,Sheila,Cherfilus-McCormick,D,D+25@@37,D+25.1,37
FL-21@@108,Brian,Mast,R,R+7@@259,R+6.86,259
FL-22@@109,Lois,Frankel,D,D+7@@150,D+7.26,150
FL-23@@110,Jared,Moskowitz,D,D+5@@165,D+4.81,165
FL-24@@111,Frederica,Wilson,D,D+25@@40,D+24.64,40
FL-25@@112,Debbie,Wasserman Schultz,D,D+9@@130,D+9.2,130
FL-26@@113,Mario,Diaz-Balart,R,R+8@@276,R+8.41,276
FL-27@@114,Maria,Elvira Salazar,R,EVEN@@211,D+0.15,211
FL-28@@115,Carlos,Gimenez,R,R+2@@227,R+2.37,227
GA-01@@116,Buddy,Carter,R,R+9@@285,R+9.19,285
GA-02@@117,Sanford,Bishop,D,D+3@@185,D+3.11,185
GA-03@@118,Drew,Ferguson,R,R+18@@380,R+17.99,380
GA-04@@119,Hank,Johnson,D,D+27@@29,D+26.63,29
GA-05@@120,Nikema,Williams,D,D+32@@15,D+31.65,15
GA-06@@121,Rich,McCormick,R,R+11@@301,R+11.08,301
GA-07@@122,Lucy,McBath,D,D+10@@127,D+9.64,127
GA-08@@123,Austin,Scott,R,R+16@@363,R+16.38,363
GA-09@@124,Andrew,Clyde,R,R+22@@413,R+22.26,413
GA-10@@125,Mike,Collins,R,R+15@@346,R+14.6,346
GA-11@@126,Barry,Loudermilk,R,R+11@@299,R+11.03,299
GA-12@@127,Rick,Allen,R,R+8@@266,R+7.52,266
GA-13@@128,David,Scott,D,D+28@@24,D+27.87,24
GA-14@@129,Marjorie Taylor ,Greene,R,R+22@@408,R+21.77,408
HI-01@@130,Ed,Case,D,D+14@@104,D+13.6,104
HI-02@@131,Jill,Tokuda,D,D+14@@103,D+13.7,103
ID-01@@132,Russ,Fulcher,R,R+22@@412,R+22.18,412
ID-02@@133,Mike,Simpson,R,R+15@@344,R+14.5,344
IL-01@@134,Jonathan,Jackson,D,D+20@@63,D+20.38,63
IL-02@@135,Robin,Kelly,D,D+19@@71,D+18.75,71
IL-03@@136,Delia,Ramirez,D,D+20@@65,D+19.8,65
IL-04@@137,Chuy,García,D,D+22@@52,D+22.46,52
IL-05@@138,Mike,Quigley,D,D+18@@74,D+18.34,74
IL-06@@139,Sean,Casten,D,D+3@@182,D+3.27,182
IL-07@@140,Danny,Davis,D,D+36@@8,D+35.72,8
IL-08@@141,Raja,Krishnamoorthi,D,D+6@@158,D+6,158
IL-09@@142,Jan,Schakowsky,D,D+19@@68,D+19.44,68
IL-10@@143,Brad,Schneider,D,D+11@@123,D+10.98,123
IL-11@@144,Bill,Foster,D,D+5@@162,D+5.3,162
IL-12@@145,Mike,Bost,R,R+24@@421,R+23.97,421
IL-13@@146,Nikki,Budzinski,D,D+3@@180,D+3.44,180
IL-14@@147,Lauren,Underwood,D,D+4@@179,D+3.56,179
IL-15@@148,Mary,Miller,R,R+22@@410,R+21.95,410
IL-16@@149,Darin,LaHood,R,R+13@@331,R+13.46,331
