Dist,First,Last,Party,2023 PVI,2023 Raw PVI,Rank
TX-16@@376,Veronica,Escobar,D,D+17@@81,D+17.06,81
TX-17@@377,Pete,Sessions,R,R+14@@343,R+14.32,343
TX-18@@378,Sheila,Jackson Lee,D,D+23@@49,D+23.16,49
TX-19@@379,Jodey,Arrington,R,R+26@@428,R+25.92,428
TX-20@@380,Joaquin,Castro,D,D+15@@93,D+14.88,93
TX-21@@381,Chip,Roy,R,R+13@@327,R+13.16,327
TX-22@@382,Troy,Nehls,R,R+11@@300,R+11.05,300
TX-23@@383,Tony,Gonzales,R,R+5@@248,R+5.27,248
TX-24@@384,Beth,Van Duyne,R,R+10@@290,R+9.81,290
TX-25@@385,Roger,Williams,R,R+19@@386,R+18.66,386
TX-26@@386,Michael,Burgess,R,R+13@@325,R+13.04,325
TX-27@@387,Michael,Cloud,R,R+13@@328,R+13.32,328
TX-28@@388,Henry,Cuellar,D,D+3@@183,D+3.2,183
TX-29@@389,Sylvia,Garcia,D,D+18@@73,D+18.44,73
TX-30@@390,Jasmine,Crockett,D,D+27@@28,D+26.8,28
TX-31@@391,John,Carter,R,R+14@@332,R+13.72,332
TX-32@@392,Colin,Allred,D,D+14@@101,D+14.05,101
TX-33@@393,Marc,Veasey,D,D+24@@44,D+23.68,44
TX-34@@394,Vicente,Gonzalez,D,D+9@@137,D+8.6,137
TX-35@@395,Greg,Casar,D,D+21@@60,D+20.97,60
TX-36@@396,Brian,Babin,R,R+18@@382,R+18.29,382
TX-37@@397,Lloyd,Doggett,D,D+24@@41,D+24.29,41
TX-38@@398,Wesley,Hunt,R,R+12@@317,R+12.38,317
UT-01@@399,Blake,Moore,R,R+12@@316,R+12.3,316
UT-02@@400,Chris,Stewart,R,R+11@@304,R+11.24,304
UT-03@@401,John,Curtis,R,R+13@@326,R+13.08,326
UT-04@@402,Burgess,Owens,R,R+16@@357,R+15.94,357
VT-AL@@403,Becca,Balint,D,D+16@@88,D+15.54,88
VA-01@@404,Rob,Wittman,R,R+6@@256,R+6.34,256
VA-02@@405,Jen,Kiggans,R,R+2@@224,R+2.05,224
VA-03@@406,Bobby,Scott,D,D+17@@82,D+17.04,82
VA-04@@407,Don,McEachin,D,D+16@@86,D+15.75,86
VA-05@@408,Bob,Good,R,R+7@@258,R+6.62,258
VA-06@@409,Ben,Cline,R,R+14@@334,R+13.83,334
VA-07@@410,Abigail,Spanberger,D,D+1@@207,D+0.88,207
VA-08@@411,Don,Beyer,D,D+26@@30,D+26.27,30
VA-09@@412,Morgan,Griffith,R,R+23@@419,R+23.32,419
VA-10@@413,Jennifer,Wexton,D,D+6@@159,D+5.92,159
VA-11@@414,Gerry,Connolly,D,D+18@@75,D+18.29,75
WA-01@@415,Suzan,DelBene,D,D+13@@106,D+13.31,106
WA-02@@416,Rick,Larsen,D,D+9@@129,D+9.29,129
WA-03@@417,Marie,Gluesenkamp Perez,D,R+5@@243,R+4.62,243
WA-04@@418,Dan,Newhouse,R,R+11@@306,R+11.41,306
WA-05@@419,Cathy,McMorris Rodgers,R,R+8@@269,R+7.74,269
WA-06@@420,Derek,Kilmer,D,D+6@@155,D+6.31,155
WA-07@@421,Pramila,Jayapal,D,D+36@@7,D+36.5,7
WA-08@@422,Kim,Schrier,D,D+1@@206,D+1.05,206
WA-09@@423,Adam,Smith,D,D+21@@59,D+21.11,59
WA-10@@424,Marilyn,Strickland,D,D+7@@154,D+6.66,154
WV-01@@425,Carol,Miller,R,R+23@@418,R+23.23,418
WV-02@@426,Alex,Mooney,R,R+22@@406,R+21.52,406
WI-01@@427,Bryan,Steil,R,R+3@@232,R+3.1,232
WI-02@@428,Mark,Pocan,D,D+19@@70,D+18.93,70
WI-03@@429,Derrick,Van Orden,R,R+4@@242,R+4.36,242
WI-04@@430,Gwen,Moore,D,D+25@@39,D+24.76,39
WI-05@@431,Scott,Fitzgerald,R,R+14@@342,R+14.29,342
WI-06@@432,Glenn,Grothman,R,R+10@@294,R+10.24,294
WI-07@@433,Tom,Tiffany,R,R+12@@315,R+12.27,315
WI-08@@434,Mike,Gallagher,R,R+10@@293,R+10.16,293
WY-AL@@435,Harriet,Hageman,R,R+25@@426,R+25.27,426
