OID_CD118_20|GEOID_CD118_20|NAMELSAD_CD118_20|AREALAND_CD118_20|AREAWATER_CD118_20|MTFCC_CD118_20|FUNCSTAT_CD118_20|OID_SDCOMBO_20|GEOID_SDCOMBO_20|NAMELSAD_SDCOMBO_20|AREALAND_SDCOMBO_20|AREAWATER_SDCOMBO_20|MTFCC_SDCOMBO_20|FUNCSTAT_SDCOMBO_20|AREALAND_PART|AREAWATER_PART
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045192544|0503630|Brinkley School District|592690709|8635380|G5420|E|592690709|8635380
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490301281685|0503640|Brookland School District|290652357|2079660|G5420|E|290652357|2079660
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086077443|0503710|Buffalo Island Central School District|353451515|2151715|G5420|E|353451515|2151715
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490323544926|0503750|Cabot Public Schools|468333599|4716339|G5420|E|468333599|4716339
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490314943270|0503840|Calico Rock School District|494323988|4938253|G5420|E|494323988|4938253
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490318001466|0503960|Carlisle School District|604181789|25107688|G5420|E|604181789|25107688
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490301281686|0504020|Westside Consolidated School District|538741520|2514258|G5420|E|538741520|2514258
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490313412250|0504050|Cave City School District|737958654|485111|G5420|E|737958654|485111
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045148394|0504350|Clarendon School District|1016563890|28603651|G5420|E|1016563890|28603651
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490292793159|0504370|Rector School District|463672257|781617|G5420|E|463672257|781617
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490295054898|0504560|Concord Public Schools|526348600|453874|G5420|E|61878472|53160
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490699211604|0504680|Cotter School District|86878797|1886207|G5420|E|86878797|1886207
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849076585502|0505170|Dermott School District|608370061|18746645|G5420|E|308060392|9465823
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490323544929|0505190|Des Arc Public Schools|687616816|24961440|G5420|E|687616816|24961440
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086008641|0505470|Drew Central School District|1455961519|3716140|G5420|E|5207319|0
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086008642|0505500|Dumas School District|916530997|32427338|G5420|E|897853261|32284109
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045474745|0505550|Earle School District|350042161|3501004|G5420|E|350042161|3501004
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490323544931|0505850|England School District|391418204|8358975|G5420|E|391418204|8358975
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490700187088|0506150|Flippin School District|338678400|28814730|G5420|E|338678400|28814730
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045248573|0506270|Forrest City School District|880160404|14217321|G5420|E|880160404|14217321
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086165712|0507350|Harrisburg School District|960493261|7666028|G5420|E|960493261|7666028
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490715566202|0507380|Harrison School District|541215340|831006|G5420|E|487420782|737375
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490285276931|0507530|Hazen School District|925931311|46033856|G5420|E|925931311|46033856
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490691730338|0507620|Hector School District|772320679|855935|G5420|E|9062600|21291
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045319815|0507680|Helena-West Helena School District|314248719|35931699|G5420|E|314248719|35931699
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045474746|0507740|Cross County School District|752598404|3366035|G5420|E|752598404|3366035
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490345863019|0507770|Highland School District|838004207|5757821|G5420|E|838004207|5757821
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490319468978|0507990|Hoxie School District|321802157|2460854|G5420|E|321802157|2460854
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849085951580|0508040|West Memphis School District|856692357|63571136|G5420|E|856692357|63571136
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490301281687|0508280|Jonesboro Public Schools|93765563|576471|G5420|E|93765563|576471
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849076585503|0508640|Lakeside School District|1390052295|133935803|G5420|E|1333392193|130833523
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490323544933|0509060|Lonoke School District|492268185|44316215|G5420|E|492268185|44316215
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490345863021|0509270|Mammoth Spring Schools|585808191|981092|G5420|E|585808191|981092
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045148395|0509360|Lee County School District|1553493435|57858191|G5420|E|1553493435|57858191
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849085951581|0509390|Marion School District|789609103|19641761|G5420|E|789609103|19641761
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086165713|0509420|Marked Tree School District|260120327|3012722|G5420|E|260120327|3012722
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490693192632|0509480|Searcy County School District|1411827752|3779134|G5420|E|1322932775|3651159
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045192548|0509510|Marvell School District|1479626291|90410323|G5420|E|1479626291|90410323
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490406592734|0509570|Maynard School District|520522405|1812710|G5420|E|520522405|1812710
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490408506428|0509600|McCrory School District|468868100|777466|G5420|E|468868100|777466
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849076585504|0509630|McGehee School District|1234084839|136401409|G5420|E|1122461875|131576810
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490314943272|0509720|Melbourne School District|664023695|3467285|G5420|E|664023695|3467285
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490693192625|0510200|Mountain View School District|1469366801|6096099|G5420|E|1469366801|6096099
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490301281688|0510440|Nettleton School District|107007777|456969|G5420|E|107007777|456969
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490699211605|0510560|Norfork Schools|421857277|17521283|G5420|E|421857277|17521283
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490330146785|0510680|North Little Rock School District|69693031|4780199|G5420|E|7131995|566983
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490715566203|0510920|Omaha School District|242283768|3022496|G5420|E|242283768|3022496
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086077444|0510950|Osceola School District|127842435|8507778|G5420|E|127842435|8507778
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490292793161|0511370|Piggott School District|378949415|1543945|G5420|E|378949415|1543945
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490319468980|0511610|Pocahontas School District|510919622|5148274|G5420|E|510919622|5148274
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490306329044|0511850|Pulaski County Special School District|1523966394|114985568|G5420|E|342765507|31505971
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490690033317|0512090|Salem School District|587431550|330849|G5420|E|587431550|330849
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490694201344|0512420|Shirley School District|229816308|12256392|G5420|E|3852148|0
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490319468981|0512480|Sloan-Hendrix School District|531732480|1126594|G5420|E|531732480|1126594
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490313412254|0512540|Southside School District|133301190|1931157|G5420|E|133301190|1931157
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490285276933|0512960|Stuttgart School District|528995739|21531951|G5420|E|528995739|21531951
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490292793162|0513080|Greene County Technical School District|893294155|4546669|G5420|E|893294155|4546669
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849086165714|0513230|Jackson County School District|654277560|5406353|G5420|E|654277560|5406353
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490715566204|0513350|Valley Springs School District|186780589|255484|G5420|E|186780589|255484
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490301281689|0513380|Valley View School District|275137585|805115|G5420|E|275137585|805115
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490690033318|0513560|Viola School District|595791115|16780810|G5420|E|595791115|16780810
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|2849045474748|0514430|Wynne Public Schools|863573021|11170423|G5420|E|863573021|11170423
2119031807777897|0501|Congressional District 1|51410894323|1427066405|G5200|N|28490693192630|0514490|Yellville-Summit School District|664205908|20983221|G5420|E|664205908|20983221
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490308495856|0500015|Sheridan School District|1608230314|4866669|G5420|E|123232352|2306387
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054897|0500020|Midland School District|431189968|233040|G5420|E|97921224|192762
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274811|0500079|Two Rivers School District|1577907894|16394777|G5420|E|181610605|284223
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|284909096970456|0500419|Jacksonville North Pulaski School District|255266555|1503996|G5420|E|228708457|644496
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490316390202|0502700|Bald Knob School District|475172117|7671439|G5420|E|457298018|7637368
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490308495859|0502790|Bauxite School District|222032085|2837202|G5420|E|176356032|2651071
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490328232773|0502880|Beebe School District|608888014|1510085|G5420|E|587047106|1510085
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490307810458|0502960|Benton School District|271953790|545819|G5420|E|235160452|545819
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490316390203|0503480|Bradford School District|237346517|2701574|G5420|E|84114455|2470692
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|284901930864009|0503690|Bryant Public Schools|887306451|7788836|G5420|E|887306451|7788836
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490407493476|0504170|White County Central School District|153639175|353122|G5420|E|153639175|353122
